tempo_s,potencia_uW
0,0
0.01,1.3543362707107e-07
0.02,6.45013375570138e-05
0.03,6.15252866710472e-05
0.04,2.14162011775044e-06
0.05,1.99198353187374e-05
0.06,1.60333481564925e-05
0.07,0.000246667524582478
0.08,0.000846229932888484
0.09,0.000724510140847552
0.1,0.000573227403094202
0.11,0.000298342627868097
0.12,0.00030138869501953
0.13,0.000246619139169193
0.14,0.000322081683205142
0.15,0.000260562477498333
0.16,4.16680392034813e-05
0.17,1.78982081716896e-06
0.18,1.99899835688725e-05
0.19,6.18063333203376e-06
0.2,6.73375583121315e-06
0.21,0.000218538395985796
0.22,0.000298642764891899
0.23,0.000828116779563235
0.24,0.00121363314641584
0.25,0.00174903382370929
0.26,0.00156811471247865
0.27,0.00237874111221189
0.28,0.00146977839923596
0.29,0.00074106286194134
0.3,0.000762825382665372
0.31,0.000715898600019682
0.32,0.000489333558764748
0.33,0.000272762465844165
0.34,0.000228065862487037
0.35,2.15304206821811e-05
0.36,1.77719172454518e-05
0.37,7.9601254089615e-06
0.38,4.05194573096474e-05
0.39,0.000520733834387033
0.4,0.000381948425120529
0.41,0.000147724388882074
0.42,2.96327224925605e-05
0.43,1.65046965406867e-05
0.44,0.000245770356539338
0.45,0.00054825650657383
0.46,8.20422689484027e-05
0.47,0.000163798952161975
0.48,6.81394825265783e-05
0.49,0.000224282522647897
0.5,0.000213638400069207
0.51,0.000487648317507695
0.52,6.40397415143982e-05
0.53,3.61020284315998e-05
0.54,0.00039173292429442
0.55,0.000352591007737385
0.56,0.000346594652753766
0.57,0.000167264811454281
0.58,9.58123372506606e-05
0.59,0.000312698874591946
0.6,0.000939184763301014
0.61,0.000573373809866036
0.62,3.08507054227884e-05
0.63,0.000251426243956144
0.64,0.000161433442341506
0.65,0.000370496069564055
0.66,0.000745263759359493
0.67,0.000392850958627178
0.68,8.62610323203303e-05
0.69,4.09522366664866e-05
0.7,9.65381405231887e-05
0.71,9.06559548275388e-05
0.72,1.57922470737171e-11
0.73,1.17942697406305e-06
0.74,0.000122167324299616
0.75,0.000158494645207287
0.76,7.12520824352936e-05
0.77,2.25014774849755e-05
0.78,0.000134920371469357
0.79,5.45753717605545e-05
0.8,0.000403117519415388
0.81,0.000694829547896204
0.82,0.000331904544128913
0.83,0.000422021657936523
0.84,0.000259162382204239
0.85,0.000205907101928024
0.86,0.000268526654782484
0.87,0.000729874586998411
0.88,0.000276364736315872
0.89,0.000196921016586001
0.9,0.00107932029838101
0.91,0.00111734891991427
0.92,0.00162669475741021
0.93,0.00131467709211828
0.94,0.000438906099351823
0.95,0.000374919431549914
0.96,0.00155479120991852
0.97,0.00207918262928619
0.98,0.00116654292968095
0.99,0.000882455513652915
1,0.000155048666826526
1.01,0.000180651384134243
1.02,0.000512017817407765
1.03,0.000247082505564371
1.04,2.15760102700012e-05
1.05,1.12735078360492e-05
1.06,0.000126427302518902
1.07,7.03038478947731e-06
1.08,1.72182975035357e-05
1.09,0.00109011847961318
1.1,0.00146418045361032
1.11,0.000617566575107586
1.12,0.000543114420009076
1.13,0.000662324665956676
1.14,0.00185491120273848
1.15,0.00163894105418416
1.16,0.00133225611609449
1.17,0.000887286676455415
1.18,0.000521980946195997
1.19,0.000623608050901807
1.2,0.000438115412792173
1.21,0.000314330595184359
1.22,6.96223199591382e-08
1.23,1.65464388280222e-05
1.24,1.1381788838128e-06
1.25,0.00062911589334292
1.26,0.000543922376164051
1.27,1.29654803360891e-05
1.28,5.29640097145734e-05
1.29,0.000182473803096929
1.3,0.000346220842557669
1.31,0.000328917960221727
1.32,0.000106892375218415
1.33,7.38792816943154e-06
1.34,5.17715189535701e-06
1.35,7.92683297890958e-05
1.36,0.00115125597603242
1.37,0.00106454856501345
1.38,0.00103069609122039
1.39,0.000860251322456572
1.4,0.000794037446235915
1.41,0.000897197114030815
1.42,0.000698382730824969
1.43,0.000533785864461236
1.44,2.61807097970421e-07
1.45,5.18891219026685e-05
1.46,1.53937713882936e-05
1.47,3.08873380475246e-05
1.48,0.000327951429701172
1.49,0.000356623633007338
1.5,0.000248741535620069
1.51,0.000411539282218521
1.52,2.20093456838832e-05
1.53,0.000269044592756088
1.54,0.000905864198474948
1.55,0.000475302302564141
1.56,0.00059615564532186
1.57,0.000956696871244687
1.58,0.000721240122833973
1.59,0.000459083360578025
1.6,0.000312972598902495
1.61,1.43654864180442e-06
1.62,9.95580693739085e-05
1.63,5.38157647264817e-06
1.64,1.71093286088759e-06
1.65,2.5105580046852e-06
1.66,0.000271558522914061
1.67,0.000478692040032302
1.68,0.00035000326491519
1.69,1.02714919111352e-05
1.7,2.74579938230735e-06
1.71,0.000335657060979993
1.72,0.000259739847968494
1.73,0.000246002790270114
1.74,0.00016584955371312
1.75,0.000401505303237316
1.76,0.000749990584389509
1.77,0.0014388238430037
1.78,0.00028419098022344
